snapshot,pair,base,quote,level_divergence_bp,revision_divergence_bp,context,primary_eligible,registered_full_g10,snapshot_date,next_return_percent
2023-02-28,NZDSEK,NZD,SEK,-70.82305972762589,-12.532297757434776,BASE_DOVISH,True,False,2023-02-28,0.7943265318276984
2023-02-28,NZDUSD,NZD,USD,24.299078819139933,13.573536486217662,BASE_HAWKISH,True,False,2023-02-28,1.3650581153559407
2023-02-28,USDSEK,USD,SEK,-95.12213854676583,-26.10583424365244,BASE_DOVISH,True,False,2023-02-28,-0.5707315835282423
2023-03-31,AUDCAD,AUD,CAD,97.37887578697317,34.13249135127297,BASE_HAWKISH,True,False,2023-03-31,-0.7629322609573668
2023-03-31,EURAUD,EUR,AUD,-24.668326789469134,-12.822044434962763,BASE_DOVISH,True,False,2023-03-31,2.405071591369273
2023-03-31,GBPAUD,GBP,AUD,-22.856175992733696,-29.28587605654907,BASE_DOVISH,True,False,2023-03-31,2.25731910668436
2023-03-31,AUDSEK,AUD,SEK,5.298385893007861,13.988459471743013,BASE_HAWKISH,True,False,2023-03-31,-1.7776393456818635
2023-03-31,AUDUSD,AUD,USD,103.11817926657005,16.686114298539387,BASE_HAWKISH,True,False,2023-03-31,-1.435078627286427
2023-03-31,CADCHF,CAD,CHF,-50.78265436236916,-39.90476360416475,BASE_DOVISH,True,False,2023-03-31,-2.9447275465587968
2023-03-31,EURCAD,EUR,CAD,72.71054899750403,21.310446916310205,BASE_HAWKISH,True,False,2023-03-31,1.6421393304119063
2023-03-31,GBPCAD,GBP,CAD,74.52269979423947,4.846615294723897,BASE_HAWKISH,True,False,2023-03-31,1.494386845726993
2023-03-31,CADNOK,CAD,NOK,-37.86292779544252,-58.68139602175327,BASE_DOVISH,True,False,2023-03-31,1.7828234232213436
2023-03-31,NZDCAD,NZD,CAD,42.75162067067955,41.638222383870094,BASE_HAWKISH,True,False,2023-03-31,-1.0355790854884
2023-03-31,CADSEK,CAD,SEK,-92.08048989396531,-20.144031879529955,BASE_DOVISH,True,False,2023-03-31,-1.0147070847244968
2023-03-31,USDCHF,USD,CHF,-56.521957841966056,-22.45838655143117,BASE_DOVISH,True,False,2023-03-31,-2.2725811802297367
2023-03-31,EURUSD,EUR,USD,78.44985247710092,3.864069863576624,BASE_HAWKISH,True,False,2023-03-31,0.9699929640828461
2023-03-31,GBPSEK,GBP,SEK,-17.557790099725835,-15.297416584806058,BASE_DOVISH,True,False,2023-03-31,0.4796797610024963
2023-03-31,USDNOK,USD,NOK,-43.602231275039415,-41.23501896901969,BASE_DOVISH,True,False,2023-03-31,2.454969789550404
2023-03-31,NZDUSD,NZD,USD,48.49092415027644,24.191845331136513,BASE_HAWKISH,True,False,2023-03-31,-1.7077254518174603
2023-03-31,USDSEK,USD,SEK,-97.81979337356219,-2.6976548267963736,BASE_DOVISH,True,False,2023-03-31,-0.34256071839543656
2023-04-30,AUDCAD,AUD,CAD,127.20771080808936,29.8288350211162,BASE_HAWKISH,True,False,2023-04-30,-1.692268238612271
2023-04-30,AUDCHF,AUD,CHF,57.86404289674578,11.267821472141776,BASE_HAWKISH,True,False,2023-04-30,-0.16848656648678983
2023-04-30,EURAUD,EUR,AUD,-52.16127508454646,-27.492948295077326,BASE_DOVISH,True,False,2023-04-30,-1.0072157764883596
